 ,,,
File Name : SM-Group-2,,,
Record No.  1,,,
Date :24/08/2022,,,
 ,,,
Load Vs Displacement Test Data,,,
 ,,,
Disp. mm,Load kN,Time Sec.,Stress
 ,,,
0,1.08,0.222,
0.1,1.11,0.382,
0.2,1.26,0.582,
0.3,1.32,0.702,
0.4,1.47,0.862,
0.5,1.56,0.98,
0.6,1.68,1.18,
0.7,1.74,1.281,
0.8,1.74,1.441,
0.9,1.8,1.561,
1,1.89,1.741,
1.1,2.01,1.881,
1.2,2.19,2.102,
1.3,2.4,2.32,
1.4,2.67,2.621,
1.5,2.94,2.821,
1.6,3.42,3.141,
1.7,3.99,3.52,
1.8,4.53,3.84,
1.9,4.98,4.082,
2,5.4,4.301,
2.1,5.76,4.501,
2.2,6.15,4.699,
2.3,6.42,4.842,
2.4,6.87,5.039,
2.5,7.2,5.18,
2.6,7.68,5.4,
2.7,8.04,5.54,
2.8,8.52,5.741,
2.9,8.97,5.918,
3,9.66,6.199,
3.1,10.08,6.359,
3.2,10.83,6.641,
3.3,11.4,6.84,
3.4,12.24,7.141,
3.5,12.81,7.34,
3.6,14.01,7.721,
3.7,14.64,7.918,
3.8,15.39,8.16,
3.9,16.02,8.34,
4,16.68,8.539,
4.1,17.28,8.719,
4.2,17.91,8.92,
4.3,18.45,9.08,
4.4,19.14,9.281,
4.5,19.83,9.48,
4.6,20.79,9.741,
4.7,21.45,9.918,
4.8,22.5,10.199,
4.9,23.28,10.419,
5,24.54,10.76,
5.1,25.26,10.94,
5.2,26.46,11.24,
5.3,27.24,11.441,
5.4,28.23,11.7,
5.5,28.89,11.859,
5.6,29.82,12.078,
5.7,30.54,12.259,
5.8,31.5,12.5,
5.9,32.07,12.641,
6,32.94,12.84,
6.1,33.81,13.039,
6.2,34.92,13.301,
6.3,35.7,13.48,
6.4,36.96,13.762,
6.5,37.86,13.959,
6.6,39.45,14.3,
6.7,40.41,14.5,
6.8,41.73,14.78,
6.9,42.66,14.98,
7,44.07,15.261,
7.1,44.97,15.441,
7.2,46.26,15.7,
7.3,47.13,15.879,
7.4,48.6,16.18,
7.5,49.53,16.359,
7.6,50.97,16.641,
7.7,52.17,16.879,
7.8,53.61,17.16,
7.9,54.93,17.421,
8,56.43,17.7,
8.1,57.84,17.979,
8.2,59.61,18.32,
8.3,60.42,18.48,
8.4,61.74,18.719,
8.5,62.67,18.899,
8.6,64.17,19.18,
8.7,64.92,19.32,
8.8,66.3,19.581,
8.9,67.26,19.762,
9,68.79,20.059,
9.1,69.75,20.238,
9.2,71.22,20.52,
9.3,72.24,20.719,
9.4,73.74,21.02,
9.5,74.7,21.22,
9.6,75.99,21.48,
9.7,76.86,21.68,
9.8,78.21,22,
9.9,79.11,22.199,
10,80.28,22.46,
10.1,81.09,22.641,
10.2,82.29,22.92,
10.3,82.95,23.08,
10.4,84.75,23.54,
10.5,85.44,23.741,
10.6,86.28,24,
10.7,86.61,24.14,
10.8,86.94,24.359,
10.9,87.09,24.5,
11,87.36,24.719,
11.1,87.6,24.859,
11.2,87.93,25.101,
11.3,88.05,25.24,
11.4,88.32,25.54,
11.5,88.53,25.7,
11.6,88.56,25.959,
11.7,88.59,26.14,
11.8,88.74,26.439,
11.9,88.89,26.579,
12,89.13,26.879,
12.1,89.19,27.039,
12.2,89.34,27.34,
12.3,89.37,27.5,
12.4,89.13,27.762,
12.5,88.92,27.898,
12.6,88.62,28.199,
12.7,88.68,28.359,
12.8,88.83,28.66,
12.9,88.92,28.84,
13,88.71,29.16,
13.1,88.56,29.301,
13.2,88.98,29.602,
13.3,89.37,29.762,
13.4,90.09,30.078,
13.5,90.21,30.219,
13.6,90.42,30.48,
13.7,90.57,30.66,
13.8,90.69,30.961,
13.9,90.78,31.121,
14,91.05,31.48,
14.1,91.17,31.781,
14.2,90.99,32.199,
14.3,91.23,32.398,
14.4,91.62,32.66,
14.5,92.16,32.82,
14.6,92.55,33.08,
14.7,92.88,33.24,
14.8,93.27,33.48,
14.9,93.45,33.621,
15,93.78,33.859,
15.1,93.96,33.979,
15.2,94.29,34.219,
15.3,94.53,34.379,
15.4,94.89,34.641,
15.5,95.13,34.801,
15.6,95.52,35.06,
15.7,95.73,35.22,
15.8,96.12,35.54,
15.9,96.39,35.721,
16,96.81,36.02,
16.1,97.08,36.219,
16.2,97.44,36.539,
16.3,97.65,36.699,
16.4,98.13,37.039,
16.5,98.43,37.281,
16.6,98.82,37.581,
16.7,98.97,37.7,
16.8,99.24,37.898,
16.9,99.48,38.099,
17,99.78,38.379,
17.1,99.96,38.539,
17.2,100.26,38.76,
17.3,100.44,38.899,
17.4,100.71,39.141,
17.5,100.86,39.281,
17.6,101.19,39.52,
17.7,101.34,39.68,
17.8,101.7,39.979,
17.9,101.85,40.119,
18,102.27,40.439,
18.1,102.48,40.62,
18.2,102.84,40.98,
18.3,103.02,41.121,
18.4,103.47,41.461,
18.5,103.62,41.621,
18.6,103.98,41.959,
18.7,104.13,42.078,
18.8,104.43,42.359,
18.9,104.58,42.5,
19,104.79,42.76,
19.1,104.91,42.879,
19.2,105.21,43.121,
19.3,105.36,43.261,
19.4,105.66,43.52,
19.5,105.81,43.68,
19.6,106.35,44.259,
19.7,106.71,44.62,
19.8,107.04,44.98,
19.9,107.22,45.18,
20,107.43,45.421,
20.1,107.58,45.581,
20.2,107.79,45.801,
20.3,107.91,45.918,
20.4,108.12,46.14,
20.5,108.3,46.3,
20.6,108.51,46.52,
20.7,108.63,46.66,
20.8,108.87,46.859,
20.9,108.99,47.02,
21,109.17,47.261,
21.1,109.32,47.421,
21.2,109.53,47.66,
21.3,109.71,47.859,
21.4,109.95,48.14,
21.5,110.13,48.34,
21.6,110.37,48.62,
21.7,110.7,49.02,
21.8,110.94,49.34,
21.9,111.12,49.561,
22,111.27,49.801,
22.1,111.39,49.979,
22.2,111.6,50.219,
22.3,111.69,50.359,
22.4,111.87,50.579,
22.5,112.02,50.739,
22.6,112.2,50.978,
22.7,112.26,51.121,
22.8,112.47,51.359,
22.9,112.59,51.539,
23,112.83,51.859,
23.1,113.01,52.039,
23.2,113.22,52.3,
23.3,113.34,52.48,
23.4,113.52,52.78,
23.5,113.73,53.019,
23.6,114.03,53.438,
23.7,114.09,53.598,
23.8,114.24,53.819,
23.9,114.39,54.02,
24,114.54,54.219,
24.1,114.69,54.398,
24.2,114.81,54.6,
24.3,114.9,54.76,
24.4,115.05,54.957,
24.5,115.11,55.117,
24.6,115.29,55.379,
24.7,115.41,55.559,
24.8,115.62,55.84,
24.9,115.77,56.099,
25,116.04,56.48,
25.1,116.19,56.68,
25.2,116.37,56.998,
25.3,116.46,57.179,
25.4,116.61,57.418,
25.5,116.67,57.559,
25.6,116.82,57.758,
25.7,116.88,57.918,
25.8,117.03,58.16,
25.9,117.12,58.3,
26,117.3,58.539,
26.1,117.42,58.739,
26.2,117.54,58.998,
26.3,117.66,59.199,
26.4,117.93,59.559,
26.5,118.02,59.778,
26.6,118.2,60.119,
26.7,118.26,60.3,
26.8,118.44,60.559,
26.9,118.53,60.76,
27,118.65,61.019,
27.1,118.77,61.199,
27.2,118.89,61.438,
27.3,118.98,61.639,
27.4,119.07,61.918,
27.5,119.19,62.099,
27.6,119.31,62.34,
27.7,119.4,62.539,
27.8,119.52,62.84,
27.9,119.64,63.039,
28,119.79,63.359,
28.1,119.91,63.578,
28.2,120,63.859,
28.3,120.12,64.02,
28.4,120.21,64.238,
28.5,120.3,64.419,
28.6,120.39,64.719,
28.7,120.48,64.879,
28.8,120.6,65.138,
28.9,120.66,65.318,
29,120.78,65.598,
29.1,120.84,65.758,
29.2,120.99,66.02,
29.3,121.05,66.219,
29.4,121.11,66.48,
29.5,121.2,66.66,
29.6,121.35,66.938,
29.7,121.44,67.117,
29.8,121.5,67.398,
29.9,121.59,67.578,
30,121.71,67.84,
30.1,121.77,68.02,
30.2,121.89,68.32,
30.3,121.95,68.48,
30.4,122.16,68.879,
30.5,122.22,69.039,
30.6,122.31,69.359,
30.7,122.37,69.52,
30.8,122.49,69.758,
30.9,122.58,69.918,
31,122.64,70.14,
31.1,122.73,70.259,
31.2,122.82,70.5,
31.3,122.88,70.68,
31.4,123.03,71.078,
31.5,123.06,71.238,
31.6,123.18,71.499,
31.7,123.21,71.659,
31.8,123.27,71.959,
31.9,123.33,72.119,
32,123.42,72.419,
32.1,123.48,72.579,
32.2,123.51,72.898,
32.3,123.57,73.039,
32.4,123.69,73.339,
32.5,123.75,73.52,
32.6,123.87,73.918,
32.7,123.96,74.119,
32.8,124.14,74.579,
32.9,124.35,75.039,
33,124.47,75.379,
33.1,124.53,75.458,
33.2,124.56,75.559,
33.3,124.56,75.659,
33.4,124.62,75.938,
33.5,124.62,76.078,
33.6,124.71,76.359,
33.7,124.77,76.559,
33.8,124.83,76.898,
33.9,124.86,77.039,
34,124.98,77.277,
34.1,124.98,77.418,
34.2,125.04,77.719,
34.3,125.07,77.859,
34.4,125.19,78.18,
34.5,125.22,78.359,
34.6,125.25,78.68,
34.7,125.31,78.859,
34.8,125.4,79.179,
34.9,125.4,79.379,
35,125.43,79.68,
35.1,125.43,79.819,
35.2,125.49,79.979,
35.3,125.55,80.199,
35.4,125.64,80.52,
35.5,125.67,80.68,
35.6,125.76,80.918,
35.7,125.82,81.078,
35.8,125.88,81.318,
35.9,125.88,81.458,
36,125.91,81.659,
36.1,125.97,81.84,
36.2,126.06,82.18,
36.3,126.09,82.359,
36.4,126.18,82.719,
36.5,126.24,82.938,
36.6,126.27,83.179,
36.7,126.33,83.398,
36.8,126.42,83.699,
36.9,126.45,83.879,
37,126.48,84.099,
37.1,126.51,84.238,
37.2,126.54,84.439,
37.3,126.57,84.579,
37.4,126.66,84.739,
37.5,126.72,84.82,
37.6,126.84,84.957,
37.7,126.93,85.019,
37.8,127.11,85.138,
37.9,127.2,85.199,
38,127.41,85.339,
38.1,127.5,85.398,
38.2,127.65,85.559,
38.3,127.68,85.618,
38.4,127.77,85.758,
38.5,127.83,85.84,
38.6,127.86,85.959,
38.7,127.86,86,
38.8,127.92,86.078,
38.9,127.95,86.14,
39,128.01,86.219,
39.1,128.04,86.279,
39.2,128.07,86.359,
39.3,128.1,86.419,
39.4,128.16,86.539,
39.5,128.19,86.62,
39.6,128.31,86.879,
39.7,128.37,87.019,
39.8,128.4,87.117,
39.9,128.43,87.138,
40,128.49,87.219,
40.1,128.52,87.277,
40.2,128.52,87.379,
40.3,128.55,87.418,
40.4,128.61,87.52,
40.5,128.64,87.578,
40.6,128.67,87.68,
40.7,128.7,87.738,
40.8,128.73,87.819,
40.9,128.73,87.879,
41,128.73,87.979,
41.1,128.76,88.039,
41.2,128.79,88.14,
41.3,128.82,88.199,
41.4,128.85,88.32,
41.5,128.88,88.398,
41.6,128.88,88.48,
41.7,128.94,88.62,
41.8,128.97,88.739,
41.9,128.97,88.82,
42,129.03,88.898,
42.1,129.06,88.978,
42.2,129.06,89.059,
42.3,129.09,89.117,
42.4,129.12,89.199,
42.5,129.15,89.277,
42.6,129.15,89.359,
42.7,129.18,89.418,
42.8,129.18,89.499,
42.9,129.18,89.578,
43,129.21,89.68,
43.1,129.24,89.758,
43.2,129.27,89.859,
43.3,129.3,89.918,
43.4,129.33,90.039,
43.5,129.33,90.119,
43.6,129.39,90.259,
43.7,129.39,90.34,
43.8,129.39,90.419,
43.9,129.39,90.5,
44,129.42,90.579,
44.1,129.42,90.641,
44.2,129.45,90.739,
44.3,129.48,90.801,
44.4,129.48,90.898,
44.5,129.51,90.957,
44.6,129.54,91.078,
44.7,129.57,91.138,
44.8,129.63,91.258,
44.9,129.63,91.359,
45,129.69,91.499,
45.1,129.72,91.578,
45.2,129.81,91.699,
45.3,129.81,91.778,
45.4,129.81,91.879,
45.5,129.81,91.918,
45.6,129.84,92.02,
45.7,129.87,92.078,
45.8,129.87,92.18,
45.9,129.9,92.238,
46,129.9,92.32,
46.1,129.9,92.379,
46.2,129.93,92.48,
46.3,129.96,92.559,
46.4,129.99,92.66,
46.5,130.02,92.76,
46.6,130.05,92.898,
46.7,130.05,92.957,
46.8,130.08,93.078,
46.9,130.08,93.138,
47,130.08,93.258,
47.1,130.08,93.318,
47.2,130.11,93.418,
47.3,130.11,93.499,
47.4,130.14,93.598,
47.5,130.14,93.68,
47.6,130.17,93.758,
47.7,130.2,93.84,
47.8,130.2,93.959,
47.9,130.2,94.039,
48,130.26,94.16,
48.1,130.26,94.238,
48.2,130.26,94.34,
48.3,130.29,94.419,
48.4,130.29,94.5,
48.5,130.32,94.579,
48.6,130.32,94.739,
48.7,130.32,94.82,
48.8,130.35,94.938,
48.9,130.38,94.998,
49,130.35,95.117,
49.1,130.35,95.179,
49.2,130.38,95.238,
49.3,130.38,95.277,
49.4,130.38,95.359,
49.5,130.38,95.418,
49.6,130.38,95.499,
49.7,130.41,95.578,
49.8,130.38,95.699,
49.9,130.41,95.778,
50,130.41,95.879,
50.1,130.41,95.938,
50.2,130.41,96.059,
50.3,130.41,96.119,
50.4,130.41,96.238,
50.5,130.44,96.3,
50.6,130.44,96.418,
50.7,130.44,96.457,
50.8,130.47,96.559,
50.9,130.47,96.62,
51,130.5,96.719,
51.1,130.5,96.797,
51.2,130.5,96.957,
51.3,130.5,97.039,
51.4,130.47,97.158,
51.5,130.44,97.219,
51.6,130.47,97.318,
51.7,130.47,97.379,
51.8,130.44,97.499,
51.9,130.44,97.559,
52,130.47,97.68,
52.1,130.47,97.738,
52.2,130.47,97.879,
52.3,130.47,97.938,
52.4,130.5,98.059,
52.5,130.5,98.137,
52.6,130.5,98.297,
52.7,130.5,98.378,
52.8,130.5,98.497,
52.9,130.5,98.578,
53,130.5,98.678,
53.1,130.5,98.738,
53.2,130.5,98.838,
53.3,130.5,98.879,
53.4,130.5,98.957,
53.5,130.5,99.019,
53.6,130.5,99.117,
53.7,130.5,99.199,
53.8,130.47,99.277,
53.9,130.5,99.339,
54,130.5,99.418,
54.1,130.47,99.458,
54.2,130.44,99.559,
54.3,130.44,99.618,
54.4,130.44,99.719,
54.5,130.38,99.778,
54.6,130.35,99.918,
54.7,130.35,99.977,
54.8,130.32,100.098,
54.9,130.32,100.177,
55,130.32,100.277,
55.1,130.35,100.357,
55.2,130.41,100.477,
55.3,130.44,100.559,
55.4,130.47,100.678,
55.5,130.44,100.738,
55.6,130.47,100.858,
55.7,130.47,100.918,
55.8,130.47,101.019,
55.9,130.44,101.059,
56,130.44,101.138,
56.1,130.44,101.199,
56.2,130.41,101.298,
56.3,130.41,101.379,
56.4,130.41,101.499,
56.5,130.41,101.598,
56.6,130.38,101.738,
56.7,130.35,101.819,
56.8,130.35,101.898,
56.9,130.35,101.957,
57,130.32,102.058,
57.1,130.29,102.117,
57.2,130.29,102.197,
57.3,130.26,102.258,
57.4,130.2,102.357,
57.5,130.17,102.398,
57.6,130.14,102.497,
57.7,130.08,102.559,
57.8,130.02,102.698,
57.9,129.99,102.758,
58,129.9,102.879,
58.1,129.84,102.938,
58.2,129.75,103.078,
58.3,129.66,103.138,
58.4,129.57,103.298,
58.5,129.48,103.359,
58.6,129.3,103.479,
58.7,129.21,103.52,
58.8,129.09,103.618,
58.9,129.03,103.659,
59,128.85,103.758,
59.1,128.73,103.819,
59.2,128.55,103.898,
59.3,128.4,103.957,
59.4,128.16,104.058,
59.5,128.01,104.117,
59.6,127.62,104.258,
59.7,126.99,104.438,
59.8,126.54,104.559,
59.9,126.33,104.617,
60,126,104.698,
60.1,125.73,104.758,
60.2,125.25,104.858,
60.3,125.07,104.898,
60.4,124.71,104.978,
60.5,124.41,105.039,
60.6,123.9,105.138,
60.7,123.66,105.179,
60.8,123.21,105.258,
60.9,122.85,105.318,
61,122.25,105.418,
61.1,121.92,105.479,
61.2,121.26,105.578,
61.3,120.9,105.639,
61.4,120.09,105.758,
61.5,119.67,105.819,
61.6,119.1,105.898,
61.7,117.96,106.037,
61.8,117.09,106.137,
61.9,116.31,106.218,
62,115.47,106.297,
62.1,114.75,106.357,
62.2,113.64,106.438,
